          ,close  ,high              ,low    ,p_change             ,open  ,pre_close,volume  ,date    ,date_week,key,atr21             ,atr14
2018-08-03,201.2  ,202.43            ,198.28 ,-0.401               ,202.01,202.01   ,2722768 ,20180803,4        ,289,5.286022365179936 ,5.548388087496714
2018-08-06,201.54 ,202.455           ,200.51 ,0.16899999999999998  ,201.0 ,201.2    ,3061351 ,20180806,0        ,290,4.982293059254215 ,5.067936342497155
2018-08-07,202.62 ,203.15            ,201.96 ,0.536                ,202.5 ,201.54   ,2422304 ,20180807,1        ,291,4.706630053867241 ,4.652211496830866
2018-08-08,202.86 ,203.58            ,202.08 ,0.118                ,202.42,202.62   ,2697921 ,20180808,2        ,292,4.464209139879126 ,4.303916630586746
2018-08-09,203.6  ,204.66            ,202.65 ,0.365                ,203.19,202.86   ,2445212 ,20180809,3        ,293,4.243826490799053 ,4.002061079841841
2018-08-10,202.65 ,203.91            ,202.16 ,-0.467               ,202.97,203.6    ,2567077 ,20180810,4        ,294,4.0171149916353635,3.701786269196262
2018-08-13,202.31 ,204.338           ,201.89 ,-0.168               ,202.65,202.65   ,2014044 ,20180813,0        ,295,3.8744681742138876,3.534614766636761
2018-08-14,203.88 ,204.05            ,201.39 ,0.7759999999999999   ,202.81,202.31   ,2076568 ,20180814,1        ,296,3.7640619765580254,3.4179994644185294
2018-08-15,200.24 ,203.05            ,199.5  ,-1.785               ,202.65,203.88   ,2955677 ,20180815,2        ,297,3.744601796870924 ,3.4355995358293936
2018-08-16,203.6  ,204.23            ,200.82 ,1.6780000000000002   ,201.94,200.24   ,2894010 ,20180816,3        ,298,3.7141834517008268,3.4321862643854737
2018-08-17,203.21 ,204.6             ,202.005,-0.192               ,203.86,203.6    ,2308887 ,20180817,4        ,299,3.772894047000765 ,3.555894762467397
2018-08-20,204.75 ,204.98            ,202.36 ,0.758                ,203.47,203.21   ,2469307 ,20180820,0        ,300,3.668085497273384 ,3.431108794138408
2018-08-21,203.09 ,205.93            ,202.63 ,-0.8109999999999999  ,205.0 ,204.75   ,1979646 ,20180821,1        ,301,3.6346231793394304,3.4136276215866217
2018-08-22,204.31 ,205.22            ,202.25 ,0.601                ,202.5 ,203.09   ,1905302 ,20180822,2        ,302,3.574202890308556 ,3.3544772720417386
2018-08-23,205.22 ,205.96            ,204.18 ,0.445                ,204.49,204.31   ,2247579 ,20180823,3        ,303,3.510184445735032 ,3.28988030243617
2018-08-24,209.4  ,209.5             ,205.57 ,2.037                ,206.0 ,205.22   ,2722618 ,20180824,4        ,304,3.6628949506682473,3.5432295954446804
2018-08-27,211.53 ,211.75            ,210.18 ,1.017                ,210.18,209.4    ,2550181 ,20180827,0        ,305,3.923540864243915 ,3.941465649385386
2018-08-28,212.63 ,213.03            ,210.94 ,0.52                 ,211.7 ,211.53   ,2240217 ,20180828,1        ,306,3.8968553311308236,3.8999368961339966
2018-08-29,214.57 ,215.86            ,212.45 ,0.912                ,212.5 ,212.63   ,3172141 ,20180829,2        ,307,3.936232119209843 ,3.9572786433161244
2018-08-30,213.8  ,215.28            ,212.83 ,-0.359               ,214.25,214.57   ,3083012 ,20180830,3        ,308,3.8193019265543815,3.7829748242073045
2018-08-31,215.56 ,215.8             ,213.5  ,0.823                ,213.58,213.8    ,3020000 ,20180831,4        ,309,3.681183569594873 ,3.585244847646332
2018-09-04,216.82 ,217.35            ,214.68 ,0.585                ,215.68,215.56   ,3776927 ,20180904,1        ,310,3.6692577905407875,3.580545534626815
2018-09-05,211.16 ,215.77            ,210.31 ,-2.61                ,215.76,216.82   ,3869543 ,20180905,2        ,311,3.832052536855282 ,3.831139463343241
2018-09-06,212.77 ,213.269           ,210.47 ,0.762                ,211.44,211.16   ,3032908 ,20180906,3        ,312,4.060956851686647 ,4.166987534897478
2018-09-07,211.09 ,213.24            ,209.7  ,-0.79                ,211.02,212.77   ,3298535 ,20180907,4        ,313,4.013597137896949 ,4.083389196911151
2018-09-10,211.67 ,213.48            ,211.38 ,0.275                ,212.66,211.09   ,3326296 ,20180910,0        ,314,3.8396337617244822,3.8189373039896632
2018-09-11,213.45 ,213.56            ,210.1  ,0.841                ,210.52,211.67   ,2728610 ,20180911,1        ,315,3.8051216015677087,3.7710789967910423
2018-09-12,214.03 ,214.46            ,211.86 ,0.272                ,213.05,213.45   ,2291506 ,20180912,2        ,316,3.7128378196069973,3.640268463885565
2018-09-13,217.22 ,218.69            ,214.37 ,1.49                 ,214.77,214.03   ,3897953 ,20180913,3        ,317,3.8516707450972785,3.853566002034154
2018-09-14,217.96 ,218.82            ,216.42 ,0.341                ,218.0 ,217.22   ,2638024 ,20180914,4        ,318,3.936973404633889 ,3.9784238684295916
2018-09-17,216.47 ,219.98            ,216.11 ,-0.684               ,219.97,217.96   ,2500931 ,20180917,0        ,319,3.9308849133035335,3.963967352638976
2018-09-18,220.05 ,220.96            ,217.3  ,1.654                ,217.46,216.47   ,2851356 ,20180918,1        ,320,3.90625901209412  ,3.923438372287112
2018-09-19,218.19 ,221.41            ,217.16 ,-0.845               ,220.63,220.05   ,2882966 ,20180919,2        ,321,4.0002354655401104,4.058979922648827
2018-09-20,221.39 ,221.92            ,218.9  ,1.467                ,219.98,218.19   ,3108564 ,20180920,3        ,322,3.911123150491004 ,3.9204492662956474
