          ,close  ,high   ,low    ,p_change,open   ,pre_close,volume ,date    ,date_week,atr21             ,atr14             ,key
2018-06-19,173.23 ,174.1  ,172.51 ,-1.102  ,173.35 ,175.16   ,822362 ,20180619,1        ,2.8645870021869153,2.7539651273593133,257
2018-06-20,173.47 ,174.85 ,173.25 ,0.139   ,174.0  ,173.23   ,683461 ,20180620,2        ,2.7778063656228222,2.641436443711412 ,258
2018-06-21,172.45 ,173.76 ,172.33 ,-0.588  ,173.48 ,173.47   ,17803  ,20180621,3        ,2.655278514200445 ,2.4799115845498876,259
2018-06-22,172.41 ,173.61 ,172.18 ,-0.023  ,173.43 ,172.45   ,796949 ,20180622,4        ,2.5438895583622902,2.3399233732765703,260
2018-06-25,169.6  ,172.17 ,168.45 ,-1.63   ,171.67 ,172.41   ,793623 ,20180625,0        ,2.676263234876704 ,2.5612669235063645,261
2018-06-26,169.47 ,171.88 ,169.21 ,-0.077  ,169.87 ,169.6    ,596936 ,20180626,1        ,2.7238756680703458,2.6464313337055105,262
2018-06-27,168.47 ,170.55 ,168.44 ,-0.59   ,169.77 ,169.47   ,665934 ,20180627,2        ,2.668068789154202 ,2.574907155878111 ,263
2018-06-28,170.58 ,171.15 ,168.39 ,1.252   ,168.47 ,168.47   ,711055 ,20180628,3        ,2.676426171958457 ,2.599586201761032 ,264
2018-06-29,170.56 ,172.1  ,170.53 ,-0.012  ,171.52 ,170.58   ,888857 ,20180629,4        ,2.7631147017812614,2.7369747081928937,265
2018-07-02,170.97 ,171.2  ,169.31 ,0.24    ,169.71 ,170.56   ,1040139,20180702,0        ,2.6837406379822593,2.624044747100506 ,266
2018-07-03,169.69 ,171.77 ,169.64 ,-0.749  ,171.23 ,170.97   ,27629  ,20180703,1        ,2.6334005799834683,2.5581721141537748,267
2018-07-05,171.06 ,172.09 ,169.51 ,0.807   ,170.5  ,169.69   ,681706 ,20180705,3        ,2.6285459818031183,2.5610824989332728,268
2018-07-06,172.81 ,175.05 ,171.13 ,1.023   ,171.27 ,171.06   ,682546 ,20180706,4        ,2.8768599834590347,2.934271499075501 ,269
2018-07-09,175.45 ,175.59 ,173.37 ,1.528   ,173.4  ,172.81   ,639436 ,20180709,0        ,3.0271454395091193,3.1470352991987607,270
2018-07-10,176.69 ,176.93 ,174.88 ,0.707   ,175.35 ,175.45   ,768872 ,20180710,1        ,3.1264958540997445,3.276763925972256 ,271
2018-07-11,178.03 ,178.49 ,174.5  ,0.758   ,175.97 ,176.69   ,770962 ,20180711,2        ,3.2049962310001616,3.371862069175956 ,272
2018-07-12,181.51 ,181.8  ,177.84 ,1.955   ,178.98 ,178.03   ,1181036,20180712,3        ,3.378178391819116 ,3.6036137932858265,273
2018-07-13,181.96 ,182.31 ,180.62 ,0.248   ,181.64 ,181.51   ,604284 ,20180713,4        ,3.4601621743813515,3.693798620847713 ,274
2018-07-16,182.32 ,183.08 ,181.72 ,0.198   ,182.02 ,181.96   ,509539 ,20180716,0        ,3.2883292494369423,3.4106254714013464,275
2018-07-17,182.69 ,182.92 ,180.72 ,0.203   ,181.8  ,182.32   ,534693 ,20180717,1        ,3.189390226760517 ,3.2492087418811653,276
2018-07-18,184.49 ,184.96 ,183.06 ,0.985   ,183.08 ,182.69   ,787352 ,20180718,2        ,3.139445660691222 ,3.1679809096303413,277
2018-07-19,182.35 ,184.36 ,182.03 ,-1.16   ,183.58 ,184.49   ,541874 ,20180719,3        ,3.0658596915372676,3.056250121679631 ,278
2018-07-20,185.42 ,185.65 ,182.23 ,1.684   ,182.23 ,182.35   ,679208 ,20180720,4        ,3.098054265033964 ,3.1047501054556825,279
2018-07-23,186.12 ,187.55 ,185.2  ,0.378   ,185.62 ,185.42   ,642724 ,20180723,0        ,3.2891402409404127,3.38411675806159  ,280
2018-07-24,185.63 ,186.92 ,185.24 ,-0.263  ,186.5  ,186.12   ,554580 ,20180724,1        ,3.1428547644909717,3.156901190320042 ,281
2018-07-25,187.02 ,187.11 ,185.02 ,0.749   ,185.54 ,185.63   ,656873 ,20180725,2        ,3.0471406949916076,3.01464769827737  ,282
2018-07-26,185.72 ,187.975,184.66 ,-0.695  ,187.62 ,187.02   ,787948 ,20180726,3        ,3.0714915409015036,3.054694671840387 ,283
2018-07-27,176.6  ,183.82 ,176.12 ,-4.911  ,182.0  ,185.72   ,2120018,20180727,4        ,3.783174128093418 ,4.100735382261677 ,284
2018-07-30,170.81 ,176.38 ,169.87 ,-3.279  ,176.38 ,176.6    ,1692141,20180730,0        ,4.880158298268335 ,5.667303997960119 ,285
2018-07-31,171.12 ,171.64 ,168.3  ,0.181   ,171.49 ,170.81   ,1527855,20180731,1        ,5.191052998426174 ,6.018330131565442 ,286
2018-08-01,171.15 ,173.87 ,170.69 ,0.018   ,171.18 ,171.12   ,888196 ,20180801,2        ,5.00822999856903  ,5.639886114023384 ,287
2018-08-02,171.89 ,172.33 ,169.55 ,0.432   ,169.73 ,171.15   ,884157 ,20180802,3        ,4.805663635062534 ,5.258567965486933 ,288
